"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 21 23:08:12 TRT 2025","Tue Oct 21 23:08:19 TRT 2025","6344","","US_011: As an administrator I want to be able to access course price plans via API connection.","","AC_01> adminToken / 200 / ""success""","","AC_01> adminToken / 200 / ""success""",""
"passed","Tue Oct 21 23:08:27 TRT 2025","Tue Oct 21 23:08:28 TRT 2025","477","","US_014 As an administrator, I want to be able to update the information","","AC_05> invalidToken / validId / 401 / ""Unauthenticated.""","","AC_05> invalidToken / validId / 401 / ""Unauthenticated.""","  of the course price plan with the specified id number via API connection."
"broken","Tue Oct 21 18:26:19 TRT 2025","Tue Oct 21 18:26:24 TRT 2025","5346","","BACKEND JDBC TESTING","","US14 Check NULL reason exists in refund_reasons","","US14 Check NULL reason exists in refund_reasons",""
"skipped","Tue Oct 21 21:38:02 TRT 2025","Tue Oct 21 21:38:02 TRT 2025","7","","BACKEND JDBC TESTING","","US31 Review stats for a product; validate min rating < 3","","US31 Review stats for a product; validate min rating < 3",""
"broken","Tue Oct 21 20:53:38 TRT 2025","Tue Oct 21 20:53:43 TRT 2025","5256","","BACKEND JDBC TESTING","","US14 Check NULL reason exists in refund_reasons","","US14 Check NULL reason exists in refund_reasons",""
"skipped","Tue Oct 21 21:38:02 TRT 2025","Tue Oct 21 21:38:02 TRT 2025","6","","BACKEND JDBC TESTING","","US27 Unique descriptions for two payment methods","","US27 Unique descriptions for two payment methods",""
"broken","Tue Oct 21 23:08:45 TRT 2025","Tue Oct 21 23:08:47 TRT 2025","1421","","As an administrator, I want to be able to update the information","","Verify a PATCH body containing valid authorization information and the correct (id) and correct","","Verify a PATCH body containing valid authorization information and the correct (id) and correct","  of the blog with the specified id number via the API connection.
  data (title, category_id, description, content) is sent to the api/updateBlog/{id}
  endpoint, it must be verified that the returned status code is 200, the remark informationin
  the response body is ""success"" and the message information is ""Successfully Updated."""
"failed","Tue Oct 21 23:08:34 TRT 2025","Tue Oct 21 23:08:35 TRT 2025","515","","US_015 As an administrator, I want to be able to delete course price plan information with the specified id number via API connection.","","AC_05> adminToken / validId / Deleted Price Plans ID = validId","","AC_05> adminToken / validId / Deleted Price Plans ID = validId",""
"skipped","Tue Oct 21 21:38:02 TRT 2025","Tue Oct 21 21:38:02 TRT 2025","6","","BACKEND JDBC TESTING","","US32 Support tickets by department and status","","US32 Support tickets by department and status",""
"broken","Tue Oct 21 20:54:26 TRT 2025","Tue Oct 21 20:54:31 TRT 2025","5216","","BACKEND JDBC TESTING","","US23 Count types where module is not null","","US23 Count types where module is not null",""
"skipped","Tue Oct 21 21:38:02 TRT 2025","Tue Oct 21 21:38:02 TRT 2025","25","","BACKEND JDBC TESTING","","US03 Delete from cities and verify","","US03 Delete from cities and verify",""
"broken","Tue Oct 21 18:27:08 TRT 2025","Tue Oct 21 18:27:13 TRT 2025","5332","","BACKEND JDBC TESTING","","US23 Count types where module is not null","","US23 Count types where module is not null",""
"skipped","Tue Oct 21 21:38:02 TRT 2025","Tue Oct 21 21:38:02 TRT 2025","8","","BACKEND JDBC TESTING","","US19 opening_balance must not update to negative","","US19 opening_balance must not update to negative",""
"passed","Tue Oct 21 23:07:33 TRT 2025","Tue Oct 21 23:07:38 TRT 2025","5510","","BACKEND JDBC TESTING (Instulearn)","","US_027 best-selling product per seller","","US_027 best-selling product per seller",""
"passed","Tue Oct 21 23:08:51 TRT 2025","Tue Oct 21 23:08:55 TRT 2025","3940","","US-52 Get Support by ID","","GET Non-existing ID US-52 AC-03","","GET Non-existing ID US-52 AC-03",""
"skipped","Tue Oct 21 21:38:02 TRT 2025","Tue Oct 21 21:38:02 TRT 2025","7","","BACKEND JDBC TESTING","","US20 Bulk insert 10 device_tokens and verify","","US20 Bulk insert 10 device_tokens and verify",""
"broken","Tue Oct 21 20:53:59 TRT 2025","Tue Oct 21 20:54:04 TRT 2025","5537","","BACKEND JDBC TESTING","","US18 Bulk insert 5 bank_accounts and verify","","US18 Bulk insert 5 bank_accounts and verify",""
"failed","Tue Oct 21 23:08:36 TRT 2025","Tue Oct 21 23:08:38 TRT 2025","1713","","As an administrator I want to be able to access blogs via API connection.","","The information returned in the response body for id(x) must be verified","","The information returned in the response body for id(x) must be verified",""
"passed","Tue Oct 21 23:09:47 TRT 2025","Tue Oct 21 23:09:53 TRT 2025","5250","","US-54 Update Support","","POST /api/supports ile kayıt oluştur; PATCH kapalıysa 405 dönmeli","","POST /api/supports ile kayıt oluştur; PATCH kapalıysa 405 dönmeli",""
"passed","Tue Oct 21 23:08:22 TRT 2025","Tue Oct 21 23:08:22 TRT 2025","614","","US_12 As an administrator, I should be able to access the detailed information","","AC_02> adminToken / validId / responseBodyInformation","","AC_02> adminToken / validId / responseBodyInformation","  of the course price plan with the specified id number via the API connection."
"broken","Tue Oct 21 20:53:32 TRT 2025","Tue Oct 21 20:53:38 TRT 2025","5250","","BACKEND JDBC TESTING","","US13 First 3 products with no coupon relation","","US13 First 3 products with no coupon relation",""
"passed","Mon Oct 20 13:55:17 TRT 2025","Mon Oct 20 13:55:18 TRT 2025","362","","US_014 As an administrator, I want to be able to update the information","","AC_07> adminToken / validId / getRequest / data.title","","AC_07> adminToken / validId / getRequest / data.title","  of the course price plan with the specified id number via API connection."
"unknown","Tue Oct 21 18:47:02 TRT 2025","Tue Oct 21 18:47:02 TRT 2025","2","","BACKEND JDBC TESTING","","US07 Placeholder scenario","","US07 Placeholder scenario",""
"skipped","Tue Oct 21 21:38:02 TRT 2025","Tue Oct 21 21:38:02 TRT 2025","8","","BACKEND JDBC TESTING","","US09 Count topics by ip and method","","US09 Count topics by ip and method",""
"passed","Tue Oct 21 23:09:38 TRT 2025","Tue Oct 21 23:09:43 TRT 2025","4410","","US-53 Support Add","","POST addSupport Empty Body (422) US-53 AC-03","","POST addSupport Empty Body (422) US-53 AC-03",""
"passed","Tue Oct 21 23:08:20 TRT 2025","Tue Oct 21 23:08:21 TRT 2025","1353","","US_011: As an administrator I want to be able to access course price plans via API connection.","","AC_03> invalidToken / validId / 401 / ""Unauthenticated.""","","AC_03> invalidToken / validId / 401 / ""Unauthenticated.""",""
"skipped","Tue Oct 21 20:52:45 TRT 2025","Tue Oct 21 20:52:50 TRT 2025","5231","","BACKEND JDBC TESTING","","US03 Delete from cities and verify","","US03 Delete from cities and verify",""
"broken","Tue Oct 21 18:27:35 TRT 2025","Tue Oct 21 18:27:40 TRT 2025","5437","","BACKEND JDBC TESTING","","US28 Unique user_ids by reference_no pattern","","US28 Unique user_ids by reference_no pattern",""
"skipped","Tue Oct 21 21:38:01 TRT 2025","Tue Oct 21 21:38:01 TRT 2025","119","","BACKEND JDBC TESTING","","US01 Verify name for slug=fashion in categories","","US01 Verify name for slug=fashion in categories",""
"passed","Tue Oct 21 18:27:51 TRT 2025","Tue Oct 21 18:27:57 TRT 2025","5727","","BACKEND JDBC TESTING","","US31 Review stats for a product; validate min rating < 3","","US31 Review stats for a product; validate min rating < 3",""
"skipped","Tue Oct 21 21:38:02 TRT 2025","Tue Oct 21 21:38:02 TRT 2025","17","","BACKEND JDBC TESTING","","US05 Insert then delete contact by email","","US05 Insert then delete contact by email",""
"passed","Tue Oct 21 23:08:34 TRT 2025","Tue Oct 21 23:08:34 TRT 2025","348","","US_015 As an administrator, I want to be able to delete course price plan information with the specified id number via API connection.","","AC_04> invalidToken / validId / 401 / ""Unauthenticated.""","","AC_04> invalidToken / validId / 401 / ""Unauthenticated.""",""
"passed","Tue Oct 21 23:08:55 TRT 2025","Tue Oct 21 23:09:15 TRT 2025","19657","","US-53 Support Add","","Diagnose addSupport endpoint  US-53 AC-01 candidates","","Diagnose addSupport endpoint  US-53 AC-01 candidates",""
